#.<ReportHeader>: 
#  +: {CreatedBy: b , CreatedAt: 2026-09-07T23:36:07.447Z}
#  QueryDescriptionLink: -->\..DevTasks<
#  QueryDescription: 
#    Type: QueryDescription
#    Select: [TypeId, Status, Importance, Estimation, By, RemTime, Summary, Tags, IDLINK as IdLink, DependsOn]
#    From: 
#      - -->CurrentWork\Bobi\TasksToBeSorted\<
#      - -->CurrentWork\Hana\TasksToBeSorted\<
#      - -->Tasks\<
#    OutputFile: Reports\DevTasks.csv
#    OrderBy: [Status desc, Importance desc, By, RemTime]
#    Where: 
#      TaggedBy: [Dev]
#      LeavesOnly: false
#      SkipFoldersAndFiles: false
#  Log: 
#    - Created at 2026-09-07T23:36:07.447Z; Added / Updated / Deleted: 64 / 0 / 0
TypeId, Status    , Importance, Estimation, By  , RemTime, Summary                                                                             , Tags          , IdLink                                                                                                                                                                 , DependsOn
      , Done      , 3-Average ,         60, Bobi,       0, Implement caching                                                                   , "F2Tools, Dev", "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..""Implement caching""<"                                                                                , 
      , Done      ,           ,          0, Bobi,       0, F2Link generation through F2YamlWorkspaceItem                                       , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..Refactorings..""F2Link generation through F2YamlWorkspaceItem""<"                                                         , 
      , Done      ,           ,           , Bobi,        , Create Implementation plan                                                          , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..Refactorings..""F2Link generation through F2YamlWorkspaceItem"".MaintenanceTasks..""Create Implementation plan""<"        , 
      , Done      ,           ,         60, Bobi,       0, Store yaml representation information in F2YamlWorkspaceItem-s baseline             , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..Refactorings..""Store yaml representation information in F2YamlWorkspaceItem-s baseline""<"                               , 
      , Done      ,           ,           , Bobi,        , Implement and upgrade functionality about recognizing and parsing ItemYamls         , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..Refactorings..""Implement and upgrade functionality about recognizing and parsing ItemYamls""<"                           , 
      , Done      ,           ,           , Bobi,        , Update parsing of properties                                                        , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..""Create proper basic Item structures library""..""Update parsing of properties""<"                                       , 
      , Done      ,           ,           , Bobi,        , Baseline ItemYaml generation                                                        , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..""Create proper basic Item structures library""..ItemYamlGeneration<"                                                     , 
      , Done      ,           ,           , Bobi,        , Write the code                                                                      , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..""Create proper basic Item structures library""..ItemYamlGeneration..WriteTheCode<"                                       , 
      , Done      ,           ,           , Bobi,        , Test and fix                                                                        , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..""Create proper basic Item structures library""..ItemYamlGeneration..TestAndFix<"                                         , 
      , Done      ,           ,         10, Bobi,       0, Registers commands                                                                  , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..QueryBasedCSV..""Registers commands""<"                                                                                   , 
      , Done      ,           ,           , Bobi,        , Executes query (basic)                                                              , "Dev, F2Tools", -->Tasks\Software\F2ToolsExtension\..Tasks..QueryBasedCSV..Execute<                                                                                                    , 
      , Done      ,           ,         90, Bobi,       0, Verifies query                                                                      , "Dev, F2Tools", -->Tasks\Software\F2ToolsExtension\..Tasks..QueryBasedCSV..Execute..Verify<                                                                                            , 
      , Done      ,           ,        180, Bobi,       0, Basic query execution                                                               , "Dev, F2Tools", -->Tasks\Software\F2ToolsExtension\..Tasks..QueryBasedCSV..Execute..BasicExecute<                                                                                      , 
      , Done      ,           ,           , Bobi,        , Update link parsing according to the new specification                              , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..F2LinkClass..""Update link parsing according to the new specification""<"                                                 , 
      , Done      ,           ,           , Bobi,        , Create a method which generates F2Links                                             , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..F2LinkClass..""Create a method which generates F2Links""<"                                                                , 
      , Done      ,           ,         10, Bobi,       0, Taskify and estimate                                                                , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..MorePrefix.MaintenanceTasks..""Taskify and estimate""<"                                                                   , 
      , Done      ,           ,         10, Bobi,       0, Taskify and estimate                                                                , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..LocalLinks.MaintenanceTasks..""Taskify and estimate""<"                                                                   , 
      , Done      ,           ,          5, Bobi,       5, Rename Item to F2YamlWorkspaceItem                                                  , "Dev, F2Tools", -->Tasks\Software\F2ToolsExtension\..Tasks..Refactorings..RenameToF2YamlWorkspaceItem<                                                                                 , 
      , Done      ,           ,         20, Bobi,      20, Custom Properties OR F2YamlWorkspaceItem to store its data in a Map                 , "Dev, F2Tools", -->Tasks\Software\F2ToolsExtension\..Tasks..Refactorings..CustomProperties<                                                                                            , 
      , Done      ,           ,         20, Bobi,      20, Create an IsValidItemHeader method in the ItemHeader class                          , "Dev, F2Tools", -->Tasks\Software\F2ToolsExtension\..Tasks..Refactorings..IsValidItemHeader<                                                                                           , 
      , Done      ,           ,        180, Bobi,      20, Filter by the Where property                                                        , "Dev, F2Tools", -->Tasks\Software\F2ToolsExtension\..Tasks..QueryBasedCSV..Execute..Filter<                                                                                            , -->...BasicExecute<
      , Done      ,           ,         25, Bobi,      25, Store further information                                                           , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..Refactorings..""Store yaml representation information in F2YamlWorkspaceItem-s baseline""..""Store further information""<", 
      , Done      ,           ,         30, Bobi,      30, Taskify and estimate                                                                , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..QueryBasedCSV.MaintenanceTasks..""Taskify and estimate""<"                                                                , 
      , Done      ,           ,         60, Bobi,      60, "If decided, implement the decision"                                                , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..Refactorings..DoubleLinkedLists..""If decided, implement the decision""<"                                                 , 
      , Cancelled ,           ,           , Bobi,        , Return the proper typescript F2YamlWorkspaceItem descendant during parsing          , "TL, Dev"     , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..""Return the proper typescript F2YamlWorkspaceItem descendant during parsing""<"                       , 
      , Blocked   , 3-Average ,           , Bobi,        , Update report                                                                       , "Dev, F2Tools", -->Tasks\Software\F2ToolsExtension\..Tasks..QueryBasedCSV..Update<                                                                                                     , -->Tasks\Software\F2ToolsExtension\..Tasks..QueryBasedCSV..ParseReport<
      , Blocked   , 3-Average ,         10, Bobi,      10, Placeholder for verifying that this is solved after F2Link rewrite                  , "Dev, F2Tools", "-->Tasks\Software\F2ToolsExtension\..Tasks..MorePrefix..""Placeholder for verifying that this is solved after F2Link rewrite""<"                                      , "-->...""ItemManager based F2Link following""<"
      , Blocked   , 1-VeryLow ,         60, Bobi,      60, Code optimisation first round - if necessary                                        , "F2Tools, Dev", "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..Items..OptimiseParsing..""Code optimisation first round - if necessary""<"                             , "-->CurrentWork\Bobi\TasksToBeSorted\..TasksToBeSorted20260702..Items..""Optimize parsing of the workspace""..""Measure speed after the folder exclusions""<"
      , Blocked   ,           ,        180, Bobi,     180, Writes Back From Output                                                             , "Dev, F2Tools", -->Tasks\Software\F2ToolsExtension\..Tasks..QueryBasedCSV..WriteBack<                                                                                                  , -->Tasks\Software\F2ToolsExtension\..Tasks..QueryBasedCSV..ParseReport<
      ,           , 5-VeryHigh,         60, Bobi,      60, Report generation is messed up                                                      , "F2Tools, Dev", "-->Tasks\Software\F2ToolsExtension\..Bugs..""Report generation is messed up""<"                                                                                       , 
      ,           , 4-High    ,         20, Bobi,      20, Report needs to be generated twice for the changes to be taken into account         , "F2Tools, Dev", "-->Tasks\Software\F2ToolsExtension\..Bugs..""Report needs to be generated twice for the changes to be taken into account""<"                                          , 
      ,           , 3-Average ,         30, Bobi,       0, Caching does not work in ItemManager                                                , "F2Tools, Dev", "-->Tasks\Software\F2ToolsExtension\..Bugs..""Caching does not work in ItemManager""<"                                                                                 , 
      ,           , 3-Average ,         10, Bobi,       0, Incorrect default for Where LeavesOnly                                              , "F2Tools, Dev", "-->Tasks\Software\F2ToolsExtension\..Bugs..""Incorrect default for Where LeavesOnly""<"                                                                               , 
      ,           , 3-Average ,         20, Bobi,      20, The file name part in F2Link does not get generated for certain Items               , "F2Tools, Dev", "-->Tasks\Software\F2ToolsExtension\..Bugs..""The file name part in F2Link does not get generated for certain Items""<"                                                , 
      ,           , 1-VeryLow ,         20, Bobi,      20, Unknown prefixes                                                                    , "F2Tools, Dev", "-->Tasks\Software\F2ToolsExtension\..Bugs..""Unknown prefixes""<"                                                                                                     , 
      ,           , 1-VeryLow ,         20, Bobi,      20, Unknown prefixes for Bugs                                                           , "F2Tools, Dev", "-->Tasks\Software\F2ToolsExtension\..Bugs..""Unknown prefixes for Bugs""<"                                                                                            , 
      ,           ,           ,           , Bobi,        , During F2Link generation the first part of the file path is missing                 , "F2Tools, Dev", "-->Tasks\Software\F2ToolsExtension\..Bugs..""During F2Link generation the first part of the file path is missing""<"                                                  , 
      ,           ,           ,           , Bobi,        , "If a map key is a number, it can't parse it as an Id"                              , "F2Tools, Dev", "-->Tasks\Software\F2ToolsExtension\..Bugs..""If a map key is a number, it can't parse it as an Id""<"                                                                 , 
      ,           ,           ,         10, Bobi,      10, After a command - e.g. start timer on task - the cursor goes to the output window   , "F2Tools, Dev", "-->Tasks\Software\F2ToolsExtension\..Bugs..""After a command - e.g. start timer on task - the cursor goes to the output window""<"                                    , 
      ,           ,           ,         20, Bobi,      20, "Error:_ ""This command only works with YAML files"""                               , "F2Tools, Dev", "-->Tasks\Software\F2ToolsExtension\..Bugs..""Error:_ ""This command only works with YAML files""""<"                                                                  , 
