#Instructions for RainbowCSV:
# 1: Comment fix: Select the "#" character, right click->Rainbow CSV->Set selection as Comment Prefix
# 2: Line generation: Generate your CSV lines and paste them; mass-fix the columns if needed using the alt+shift+click multi-row select feature
# 3: Order and sum: 
# 3.1: Convert to minutes: IF there are estimations/remTimes in "h" => convert them to m(inutes)
# 3.2: Prepare to sum: Remove the "m" after all the time values (both Estimation and RemTime): alt+shitf+click select all in the column, ctrl+h, switch on the "in selection" (three horizontal lines", "m" in first box, second box empty, press Replace all 
# 3.3: Open the query window: Press 'Query' (next to CSVLint button in the bottom), check 'Input table has header'
# 3.4: Order: Put "SELECT * ORDER BY a3, a6" to the textbox, press run then copy the result back to this one
# 3.5: Sum: Queries are "SELECT sum(a2)" for sum of Estimation and "SELECT sum(a5)" for sum of RemTime; Run each and put the results as a new line like the example below
# 665                                 350        2026-03-30 20:15 //there were missing estimations here + missing Tasks
# 765                                 665        2026-04-01 xx:xx //done afterwards; many missing tasks still
# 765                                 560        2026-04-02 10:48 //many missing tasks still
# 1190                                975        2026-04-02 16:55 //supposedly all current OCWSPhase1 tasks are here 
# 1370                                990        2026-04-06 11:44 //Added 180m of f2yamltohtml related tasks
# 1260                                750        2026-04-08 13:52 //Moved 120mins of Shadow Site related to OCWSPhase2; 1 Task added; 2 Tasks done; while a lot of progress was done on the F2FileToHtmlConverter task, the RemTime decreased by 30 only.
# 1692                                980        2026-04-09 15:15 //+4 Tasks (142+60+120+90) about f2yaml link fixes, content and development; +1 Task due to error (20); some Tasks are Done (142 + 40)
# 1692                                710        2026-04-11 19:26
# 1752                                550        2026-04-13 21:02 //One bug added
# 1772                                630        2026-04-14 12:46 //Cancelled 90m; Added 2 Tasks (110m); Fixed the RemTime of empty lines Task (30->60); 
# 1842                                540        2026-04-15 13:06 //Added 10m + 30m + 30m Tasks; Done 4 Tasks (60+60+30+10);
*, Estimation    , Status   , By          , RemTime, IdLink                                                                                                                                                                                                                                                        , DependsOn
 , 60            , Done     , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..""Go live""..""Go live Phase1""..""Go live""<"                                                                                                                                                        , 
 , 0             , Cancelled, Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..""Bugs""..""Fix the live site inception bug""<"                                                                                                                                                       , 
 , 10            , Done     , Hana        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..NonDD..""Phase1""..""Create Contact page""..""Implement, finalize and publish""..""Provide the links into the document""<"                                                 , 
 , 60            , Done     , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..""Bugs""..""Fix scrolling bug""<"                                                                                                                                                                     , 
 , 120           , Done     , Bobi        ,       0, "-->Tasks\Software\F2FileToHtmlConverter\..""F2FileToHtmlConverter""..""Development""..""SecondPhase""..""Fix the non-scalar as a sequence entry folding issue""<"                                                                                            , 
 , 30            , Done     , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..""Shadow site todos""..""Integrate Shadow's site with the Deepdive one""..""Add CTAs leading to the OriginalConcept site""<"                                                                          , 
 , 30            , Done     , "Hana, Bobi",       0, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..NonDD..""Phase1""..""Create Contact page""..""Review it""<"                                                                                                                , 
 , 40            , Done     , "Hana, Bobi",       0, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..NonDD..""Phase1""..""Create SupportUs page""..""Create content about what will be here""..""Work it out""<"                                                                , 
 , 40            , Done     , "Bobi, Hana",       0, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..NonDD..""Phase1""..""Create Watch page""..Review..Content<"                                                                                                                , 
 , 142           , Done     , Hana        ,       0, "-->Tasks\Management\..""OCWSPhase1""..UpdateF2Links..Fix1stRound<"                                                                                                                                                                                           , 
 , 5             , Done     , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..NonDD..""Phase1""..""Create SupportUs page""..""Rename ""Support"" to something less confusing""..""Rename it""<"                                                          , 
 , 60            , Done     , Bobi        ,       0, "-->Tasks\Software\F2FileToHtmlConverter\..""F2FileToHtmlConverter""..""Development""..""SecondPhase""..""Try Updating the BarbaF2YamlHtmlConverter to generate empty lines as well""..""Move the yaml parser to a separate project in The F2Tools project""<", 
 , 30            , Done     , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..""Shadow site todos""..""Change the ""Building fair systems through Collaboration"" to the one we decided""..""Change it in the title bar""<"                                                         , 
 , 60            , Done     , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..""Shadow site todos""..""Relearn how to edit Shadow's site""<"                                                                                                                                        , 
 , 5             , Done     , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..""Shadow site todos""..""Remove the ""TF2P"" text""<"                                                                                                                                                 , 
 , 20            , Done     , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..NonDD..""Phase1""..""Create SupportUs page""..""Create content about what will be here""..""Create baseline ideas""<"                                                      , 
 , 10            , Done     , Hana        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..NonDD..""Phase1""..""Create SupportUs page""..""Rename ""Support"" to something less confusing""..""Try finding something better than ""Support us""""<"                   , 
 , 0             , Done     , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..NonDD..""Phase1""..""Create Watch page""..Baseline<"                                                                                                                       , 
 , 10            , Done     , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Meetings""..""Standup Reports""<"                                                                                                                   , 
 , 20            , Done     , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..LearnToDive..""Overview""..Finalize<"                                                                                                                                , 
 , 20            , Done     , Hana        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..NonDD..""Phase1""..""Create Watch page""..Review..Links<"                                                                                                                  , 
 , 30            , Done     , "Hana, Bobi",       0, "-->Tasks\Website\..""Back to original""..Intermediate..""Setup Discord permissions and channels""<"                                                                                                                                                          , 
 ,               , Done     , Hana        ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..NonDD..""Phase2""..""SupportUs page""..""BuyUsACoffee""..""Set up the account""..""Add the payment info""..""Fight it through with fucking support and solve the issue""<" , 
 , 15            , Done     , Bobi        ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Create a new repository for the new set of yamls""<"                                                                                                                                    , 
 , 45            , Done     , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Revise the structure of the Deepdive section""..""Rewrite the app.js to show the revised Management.Public structure""<"                                                                , 
 , 20            , Done     , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Revise the structure of the Deepdive section""..""Rewrite the generator settings""<"                                                                                                    , 
 , 30            , Done     , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Revise the structure of the Deepdive section""..""Create the knots files and their content for it""<"                                                                                   , 
 , 20 (timeboxed), Done     , Bobi        ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Tasks""..""Software Development""..""The F2Tool""<"                                                                                                 , 
 , 30 (timeboxed), Done     , Bobi        ,       5, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Tasks""..""Software Development""..""Website""<"                                                                                                    , 
 , 10            , Done     , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Documents""..""Articles""..""Migrate them from the old repo""<"                                                                                     , 
 , 15            , Done     , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Documents""..""Articles""..""Decide:_ which ones should be published""<"                                                                            , 
 , 30 (timeboxed), Done     , Bobi        ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Documents""..""Specifications""..""Barba.Types""<"                                                                                                  , 
 ,               , Done     , "Bobi, Hana",        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Meetings""..""Plannings""..""Review""<"                                                                                                             , 
 ,               , Done     , Bobi        ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Meetings""..""Plannings""..""Finalize and publish""<"                                                                                               , 
 ,               , Done     , "Bobi, Hana",        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Meetings""..""Retrospectives""..""Review""<"                                                                                                        , 
 ,               , Done     , Bobi        ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Meetings""..""Retrospectives""..""Finalize and publish""<"                                                                                          , 
 ,               , Done     , Bobi        ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Move my PublicWorkspace""..""Figure out how to handle this in the new repo""<"                                                                      , 
 ,               , Done     ,             ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Move my PublicWorkspace""..""Implement""..""Move the current PublicWorkspace and Tasks for both of us""<"                                           , 
 ,               , Done     ,             ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Move my PublicWorkspace""..""Implement""..""Modify app.js""<"                                                                                       , 
 ,               , Done     ,             ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Move my PublicWorkspace""..""Implement""..""Modify the generator config""<"                                                                         , 
 ,               , Done     ,             ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Move my PublicWorkspace""..""Implement""..""Update the description""<"                                                                              , 
 ,               , Done     ,             ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Move my PublicWorkspace""..""Implement""..""Generate, check and fix""<"                                                                             , 
 , 15            , Done     , Bobi        ,      15, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Move the Bugs""<"                                                                                                                                   , 
 ,               , Done     ,             ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Move anything else""..""Move .vscode folder""<"                                                                                                     , 
 ,               , Done     , Bobi        ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Move anything else""..""Move the F2FileToHtmlConverter related tasks""<"                                                                            , 
 ,               , Done     ,             ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..""Write content for the knots""..""Decide the format and process""<"                                                                                                         , 
 , 30            , Done     , Bobi        ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..""Upload the phase1 yamls""<"                                                                                                                                                , 
